country,states,id,country_iso2,country_norm,emoji_flag
American Samoa,"[{""name"": ""Eastern"", ""active"": true}, {""name"": ""Manu'a"", ""active"": true}, {""name"": ""Rose Island"", ""active"": true}, {""name"": ""Swains Island"", ""active"": true}, {""name"": ""Western"", ""active"": true}]",ab78b155-ef88-4a15-a510-f4ba2f3dbfca,AM, merican amoa,🇦🇲
Kiribati,"[{""name"": ""Gilbert Islands"", ""active"": true}, {""name"": ""Line Islands"", ""active"": true}, {""name"": ""Phoenix Islands"", ""active"": true}]",519d36bb-50eb-47f0-88b8-1a889a43878d,KI, iribati,🇰🇮
Anguilla,"[{""name"": ""Anguilla"", ""active"": true}]",ebe719af-2f40-4880-a180-ad12e2264fce,AN, nguilla,🇦🇳
Luxembourg,"[{""name"": ""Diekirch"", ""active"": true}, {""name"": ""Grevenmacher"", ""active"": true}, {""name"": ""Luxembourg"", ""active"": true}]",d0fc95b6-a81a-4e06-9014-0860051bfcc5,LU, uxembourg,🇱🇺
Martinique,"[{""name"": ""Martinique"", ""active"": true}]",90001160-9845-4a45-b470-5a809b69a65b,MA, artinique,🇲🇦
Grenada,"[{""name"": ""Saint Andrew"", ""active"": true}, {""name"": ""Saint David"", ""active"": true}, {""name"": ""Saint George"", ""active"": true}, {""name"": ""Saint John"", ""active"": true}, {""name"": ""Saint Mark"", ""active"": true}, {""name"": ""Saint Patrick"", ""active"": true}]",eadf640a-5738-4593-853a-7bb7852511e0,GR, renada,🇬🇷
Guinea,"[{""name"": ""Boké"", ""active"": true}, {""name"": ""Conakry"", ""active"": true}, {""name"": ""Faranah"", ""active"": true}, {""name"": ""Kankan"", ""active"": true}, {""name"": ""Kindia"", ""active"": true}, {""name"": ""Labé"", ""active"": true}, {""name"": ""Mamou"", ""active"": true}, {""name"": ""Nzérékoré"", ""active"": true}]",18e12056-2869-46b5-86f5-ee95e96cc0b9,GU, uinea,🇬🇺
Japan,"[{""name"": ""Aichi"", ""active"": true}, {""name"": ""Akita"", ""active"": true}, {""name"": ""Aomori"", ""active"": true}, {""name"": ""Chiba"", ""active"": true}, {""name"": ""Ehime"", ""active"": true}, {""name"": ""Fukui"", ""active"": true}, {""name"": ""Fukuoka"", ""active"": true}, {""name"": ""Fukushima"", ""active"": true}, {""name"": ""Gifu"", ""active"": true}, {""name"": ""Gunma"", ""active"": true}, {""name"": ""Hiroshima"", ""active"": true}, {""name"": ""Hokkaido"", ""active"": true}, {""name"": ""Hyogo"", ""active"": true}, {""name"": ""Ibaraki"", ""active"": true}, {""name"": ""Ishikawa"", ""active"": true}, {""name"": ""Iwate"", ""active"": true}, {""name"": ""Kagawa"", ""active"": true}, {""name"": ""Kagoshima"", ""active"": true}, {""name"": ""Kanagawa"", ""active"": true}, {""name"": ""Kochi"", ""active"": true}, {""name"": ""Kumamoto"", ""active"": true}, {""name"": ""Kyoto"", ""active"": true}, {""name"": ""Mie"", ""active"": true}, {""name"": ""Miyagi"", ""active"": true}, {""name"": ""Miyazaki"", ""active"": true}, {""name"": ""Nagano"", ""active"": true}, {""name"": ""Nagasaki"", ""active"": true}, {""name"": ""Nara"", ""active"": true}, {""name"": ""Niigata"", ""active"": true}, {""name"": ""Oita"", ""active"": true}, {""name"": ""Okayama"", ""active"": true}, {""name"": ""Okinawa"", ""active"": true}, {""name"": ""Osaka"", ""active"": true}, {""name"": ""Saga"", ""active"": true}, {""name"": ""Saitama"", ""active"": true}, {""name"": ""Shiga"", ""active"": true}, {""name"": ""Shimane"", ""active"": true}, {""name"": ""Shizuoka"", ""active"": true}, {""name"": ""Tochigi"", ""active"": true}, {""name"": ""Tokushima"", ""active"": true}, {""name"": ""Tokyo"", ""active"": true}, {""name"": ""Tottori"", ""active"": true}, {""name"": ""Toyama"", ""active"": true}, {""name"": ""Wakayama"", ""active"": true}, {""name"": ""Yamagata"", ""active"": true}, {""name"": ""Yamaguchi"", ""active"": true}, {""name"": ""Yamanashi"", ""active"": true}]",6565fbfb-ea26-4691-a8ee-9afa4ce388c7,JA, apan,🇯🇦
Bosnia and Herzegovina,"[{""name"": ""Brčko District"", ""active"": true}, {""name"": ""Federation of Bosnia and Herzegovina"", ""active"": true}, {""name"": ""Republika Srpska"", ""active"": true}]",16e3704e-6c3e-4b9f-996c-27bc4e95b993,BO, osnia and erzegovina,🇧🇴
Réunion,"[{""name"": ""Saint-Denis"", ""active"": true}, {""name"": ""Saint-Paul"", ""active"": true}, {""name"": ""Saint-Pierre"", ""active"": true}, {""name"": ""Le Tampon"", ""active"": true}, {""name"": ""Saint-André"", ""active"": true}, {""name"": ""Saint-Benoît"", ""active"": true}, {""name"": ""Saint-Louis"", ""active"": true}, {""name"": ""Sainte-Marie"", ""active"": true}, {""name"": ""Cilaos"", ""active"": true}, {""name"": ""Saint-Leu"", ""active"": true}]",62ce560e-2374-4c58-acc2-4ea76e00d591,RU, eunion,🇷🇺
British Virgin Islands,"[{""name"": ""Anegada"", ""active"": true}, {""name"": ""Jost Van Dyke"", ""active"": true}, {""name"": ""Tortola"", ""active"": true}]",8c35e055-c0f4-4a63-8c0a-1170db5f4bab,BR, ritish irgin slands,🇧🇷
Sint Maarten,"[{""name"": ""Sint Maarten"", ""active"": true}]",6e14b77c-17e7-4f9b-a19c-fd1c6ba9ad87,SI, int aarten,🇸🇮
Andorra,"[{""name"": ""Canillo"", ""active"": true}, {""name"": ""Encamp"", ""active"": true}, {""name"": ""Ordino"", ""active"": true}, {""name"": ""La Massana"", ""active"": true}, {""name"": ""Andorra la Vella"", ""active"": true}, {""name"": ""Sant Julià de Lòria"", ""active"": true}, {""name"": ""Escaldes-Engordany"", ""active"": true}]",bac7834d-3ddd-4460-b181-49938093ab18,AN, ndorra,🇦🇳
Caribbean Netherlands,"[{""name"": ""Bonaire"", ""active"": true}, {""name"": ""Saba"", ""active"": true}, {""name"": ""Sint Eustatius"", ""active"": true}]",c10497e2-fee3-4d9c-9f58-267331f68552,CA, aribbean etherlands,🇨🇦
Curaçao,"[{""name"": ""Curaçao"", ""active"": true}]",279abeb7-dcb3-48d3-b863-016284f5cbf2,CU, uracao,🇨🇺
Sao Tome and Principe,"[{""name"": ""Água Grande"", ""active"": true}, {""name"": ""Cantagalo"", ""active"": true}, {""name"": ""Caué"", ""active"": true}, {""name"": ""Lemba"", ""active"": true}, {""name"": ""Lobata"", ""active"": true}, {""name"": ""Mé-Zóchi"", ""active"": true}, {""name"": ""Príncipe"", ""active"": true}]",6a7f3ae5-8b14-4256-ab6a-31f45a03b1d2,SA, ao ome and rincipe,🇸🇦
French Guiana,"[{""name"": ""French Guiana"", ""active"": true}]",2012eccd-2632-444a-8ab9-76935ac1a8a7,FR, rench uiana,🇫🇷
Djibouti,"[{""name"": ""Ali Sabieh"", ""active"": true}, {""name"": ""Arta"", ""active"": true}, {""name"": ""Dikhil"", ""active"": true}, {""name"": ""Djibouti"", ""active"": true}, {""name"": ""Obock"", ""active"": true}, {""name"": ""Tadjourah"", ""active"": true}]",f9f086f2-ccd4-4795-bb5e-f72ef76a57d1,DJ, jibouti,🇩🇯
State of Palestine,"[{""name"": ""Gaza Strip"", ""active"": true}, {""name"": ""West Bank"", ""active"": true}]",d68c0e5f-bd21-405b-8411-20abc7d56ec4,ST, tate of alestine,🇸🇹
Tokelau,"[{""name"": ""Atafu"", ""active"": true}, {""name"": ""Nukunonu"", ""active"": true}, {""name"": ""Fakaofo"", ""active"": true}]",d14f0c0f-518f-449b-9a60-4859ccc04f7a,TO, okelau,🇹🇴
Afghanistan,"[{""name"": ""Badakhshan"", ""active"": true}, {""name"": ""Badghis"", ""active"": true}, {""name"": ""Baghlan"", ""active"": true}, {""name"": ""Balkh"", ""active"": true}, {""name"": ""Bamyan"", ""active"": true}, {""name"": ""Daykundi"", ""active"": true}, {""name"": ""Farah"", ""active"": true}, {""name"": ""Faryab"", ""active"": true}, {""name"": ""Ghazni"", ""active"": true}, {""name"": ""Ghor"", ""active"": true}, {""name"": ""Helmand"", ""active"": true}, {""name"": ""Herat"", ""active"": true}, {""name"": ""Jowzjan"", ""active"": true}, {""name"": ""Kabul"", ""active"": true}, {""name"": ""Kandahar"", ""active"": true}, {""name"": ""Khost"", ""active"": true}, {""name"": ""Kunar"", ""active"": true}, {""name"": ""Laghman"", ""active"": true}, {""name"": ""Logar"", ""active"": true}, {""name"": ""Nangarhar"", ""active"": true}, {""name"": ""Nimroz"", ""active"": true}, {""name"": ""Nuristan"", ""active"": true}, {""name"": ""Paktia"", ""active"": true}, {""name"": ""Paktika"", ""active"": true}, {""name"": ""Panjshir"", ""active"": true}, {""name"": ""Parwan"", ""active"": true}, {""name"": ""Samangan"", ""active"": true}, {""name"": ""Sar-e Pol"", ""active"": true}, {""name"": ""Takhar"", ""active"": true}, {""name"": ""Urozgan"", ""active"": true}, {""name"": ""Wardak"", ""active"": true}, {""name"": ""Zabul"", ""active"": true}]",da59600b-d71a-45f0-8fe4-f0180a53fa11,AF, fghanistan,🇦🇫
Albania,"[{""name"": ""Berat"", ""active"": true}, {""name"": ""Dibër"", ""active"": true}, {""name"": ""Durrës"", ""active"": true}, {""name"": ""Elbasan"", ""active"": true}, {""name"": ""Fier"", ""active"": true}, {""name"": ""Gjirokastër"", ""active"": true}, {""name"": ""Korçë"", ""active"": true}, {""name"": ""Kukës"", ""active"": true}, {""name"": ""Lezhë"", ""active"": true}, {""name"": ""Shkodër"", ""active"": true}, {""name"": ""Tiranë"", ""active"": true}, {""name"": ""Vlorë"", ""active"": true}]",348334f2-9e2e-4558-b962-f3487978d401,AL, lbania,🇦🇱
Jamaica,"[{""name"": ""Clarendon"", ""active"": true}, {""name"": ""Hanover"", ""active"": true}, {""name"": ""Kingston"", ""active"": true}, {""name"": ""Manchester"", ""active"": true}, {""name"": ""Portland"", ""active"": true}, {""name"": ""Saint Andrew"", ""active"": true}, {""name"": ""Saint Ann"", ""active"": true}, {""name"": ""Saint Catherine"", ""active"": true}, {""name"": ""Saint Elizabeth"", ""active"": true}, {""name"": ""Saint James"", ""active"": true}, {""name"": ""Saint Mary"", ""active"": true}, {""name"": ""Saint Thomas"", ""active"": true}, {""name"": ""Trelawny"", ""active"": true}, {""name"": ""Westmoreland"", ""active"": true}]",c0b83cdb-df5e-4291-951d-54b893c6d915,JA, amaica,🇯🇦
Algeria,"[{""name"": ""Adrar"", ""active"": true}, {""name"": ""Chlef"", ""active"": true}, {""name"": ""Laghouat"", ""active"": true}, {""name"": ""Oum El Bouaghi"", ""active"": true}, {""name"": ""Batna"", ""active"": true}, {""name"": ""Béjaïa"", ""active"": true}, {""name"": ""Biskra"", ""active"": true}, {""name"": ""Béchar"", ""active"": true}, {""name"": ""Blida"", ""active"": true}, {""name"": ""Bouira"", ""active"": true}, {""name"": ""Tamanrasset"", ""active"": true}, {""name"": ""Tébessa"", ""active"": true}, {""name"": ""Tlemcen"", ""active"": true}, {""name"": ""Tiaret"", ""active"": true}, {""name"": ""Tizi Ouzou"", ""active"": true}, {""name"": ""Algiers"", ""active"": true}, {""name"": ""Djelfa"", ""active"": true}, {""name"": ""Jijel"", ""active"": true}, {""name"": ""Sétif"", ""active"": true}, {""name"": ""Saïda"", ""active"": true}, {""name"": ""Skikda"", ""active"": true}, {""name"": ""Sidi Bel Abbès"", ""active"": true}, {""name"": ""Annaba"", ""active"": true}, {""name"": ""Guelma"", ""active"": true}, {""name"": ""Constantine"", ""active"": true}, {""name"": ""Médéa"", ""active"": true}, {""name"": ""Mostaganem"", ""active"": true}, {""name"": ""M'Sila"", ""active"": true}, {""name"": ""Mascara"", ""active"": true}, {""name"": ""Ouargla"", ""active"": true}, {""name"": ""Oran"", ""active"": true}, {""name"": ""El Bayadh"", ""active"": true}, {""name"": ""Illizi"", ""active"": true}, {""name"": ""Bordj Bou Arréridj"", ""active"": true}, {""name"": ""Boumerdès"", ""active"": true}, {""name"": ""El Tarf"", ""active"": true}, {""name"": ""Tindouf"", ""active"": true}, {""name"": ""Tissemsilt"", ""active"": true}, {""name"": ""El Oued"", ""active"": true}, {""name"": ""Khenchela"", ""active"": true}, {""name"": ""Souk Ahras"", ""active"": true}, {""name"": ""Tipaza"", ""active"": true}, {""name"": ""Mila"", ""active"": true}, {""name"": ""Aïn Defla"", ""active"": true}, {""name"": ""Naâma"", ""active"": true}, {""name"": ""Aïn Témouchent"", ""active"": true}, {""name"": ""Ghardaïa"", ""active"": true}, {""name"": ""Relizane"", ""active"": true}]",1ea3b033-2568-47c1-bd75-768a40f8d2fd,AL, lgeria,🇦🇱
Macao,"[{""name"": ""Macau"", ""active"": true}]",dc62a856-eae5-48da-937c-4141eafb1810,MA, acao,🇲🇦
Aruba,"[{""name"": ""Aruba"", ""active"": true}]",8d810114-6466-42d9-a440-0de70abec2dc,AR, ruba,🇦🇷
Monaco,"[{""name"": ""Monaco"", ""active"": true}]",ced1c9b6-6b4f-4b55-b257-e62a0b055ae8,MO, onaco,🇲🇴
Niue,"[{""name"": ""Niue"", ""active"": true}]",a1e39c73-4b65-41d1-b2c4-27e375fe0a6d,NI, iue,🇳🇮
Rwanda,"[{""name"": ""Kigali City"", ""active"": true}, {""name"": ""Eastern Province"", ""active"": true}, {""name"": ""Kigali"", ""active"": true}, {""name"": ""Northern Province"", ""active"": true}, {""name"": ""Western Province"", ""active"": true}, {""name"": ""Southern Province"", ""active"": true}]",54050424-a508-445d-ba71-a6fee71285b4,RW, wanda,🇷🇼
Comoros,"[{""name"": ""Anjouan"", ""active"": true}, {""name"": ""Grande Comore"", ""active"": true}, {""name"": ""Mohéli"", ""active"": true}]",a6addb97-53a5-4626-9358-56b8b5bbfab6,CO, omoros,🇨🇴
Gibraltar,"[{""name"": ""Gibraltar"", ""active"": true}]",c4abef86-7124-4406-a188-a76cdfc637c0,GI, ibraltar,🇬🇮
Tajikistan,"[{""name"": ""Districts of Republican Subordination"", ""active"": true}, {""name"": ""Gorno-Badakhshan Autonomous Region"", ""active"": true}, {""name"": ""Khatlon Region"", ""active"": true}, {""name"": ""Sughd Region"", ""active"": true}]",d0817d0b-517d-494f-87d9-1e4abc26f7b5,TA, ajikistan,🇹🇦
Togo,"[{""name"": ""Centrale"", ""active"": true}, {""name"": ""Kara"", ""active"": true}, {""name"": ""Maritime"", ""active"": true}, {""name"": ""Plateaux"", ""active"": true}, {""name"": ""Savanes"", ""active"": true}]",534e4c66-c7c3-410f-a735-202d8fb9885a,TO, ogo,🇹🇴
Turkmenistan,"[{""name"": ""Ahal"", ""active"": true}, {""name"": ""Balkan"", ""active"": true}, {""name"": ""Dashoguz"", ""active"": true}, {""name"": ""Lebap"", ""active"": true}, {""name"": ""Mary"", ""active"": true}]",64314647-26b4-4779-9419-32c41adcec24,TU, urkmenistan,🇹🇺
Tuvalu,"[{""name"": ""Funafuti"", ""active"": true}, {""name"": ""Nanumanga"", ""active"": true}, {""name"": ""Nanumea"", ""active"": true}, {""name"": ""Niutao"", ""active"": true}, {""name"": ""Nui"", ""active"": true}, {""name"": ""Vaitupu"", ""active"": true}]",40f743c8-fe73-49fe-8992-b70ae19b5c9d,TU, uvalu,🇹🇺
