scope,last_value,updated_at
CHILD|344db9e5-9e6e-4acb-a159-c3ff0351927f|AC,6,2025-09-02 00:30:42.056504+00
CHILD|ceaa2505-2ce8-447b-96d6-f542f6d5e5f6|AT,2,2025-09-14 11:34:04.993276+00
CHILD|22e49417-7546-4033-86b9-1a516130fbf7|AU,2,2025-09-14 11:42:05.178785+00
CHILD|489f2344-da9a-4cd7-aa5e-fabf9a00eb8f|AV,2,2025-09-14 11:49:49.023079+00
SER::INDIA::TAMIL NADU::AA2::AA,2,2025-08-31 09:57:30.014138+00
ROOT::INDIA::TAMIL NADU,3,2025-08-31 10:18:56.019337+00
SER::INDIA::TAMIL NADU::AA3::AA,2,2025-08-31 10:18:56.019337+00
CHILD|05b95f61-1a0f-4ebd-b095-31f72e5879d3|AB,4,2025-09-02 09:47:30.08476+00
CHILD|701ad21c-7dce-4b90-ba73-18f539f41602|AC,6,2025-09-02 09:49:01.280102+00
CHILD|d4a83114-64c6-4a39-b22a-aa6b8fd131f5|AW,2,2025-09-14 11:51:31.940279+00
CHILD|8f3b5f8f-34ab-4238-94d0-9b13a9aa7daa|AB,2,2025-09-02 10:30:03.85827+00
CHILD|c0a673e1-dc5f-41fb-9352-272f197f8b10|AX,2,2025-09-14 11:57:53.253098+00
CHILD|5dba7010-7d45-4171-bfa7-67ae6c9fa938|AB,3,2025-09-02 10:44:28.789273+00
CHILD|73cacce7-85bd-4dea-8f86-cf24d5e99e6f|AC,2,2025-09-02 10:46:20.571157+00
CHILD|3c0c5266-623b-4c70-a9c5-bf7246a4286f|AD,2,2025-09-02 10:48:25.782035+00
CHILD|17260070-0e1b-4d35-b17c-620f17d39996|AY,2,2025-09-14 12:04:51.117724+00
CHILD|cfe066fd-63a7-4a4f-89af-f7c1195615a1|AZ,2,2025-09-14 12:13:19.032622+00
CHILD|dc4edea6-09b2-4b90-badb-a839ee2bfdf8|BA,2,2025-09-14 12:18:34.242259+00
CHILD|1be0ac53-d679-4244-8081-5c8ecd1aabe0|AB,2,2025-09-04 09:40:49.817173+00
CHILD|bdb67cbf-ded5-41b0-8c50-6f17b188bebf|BB,2,2025-09-14 13:35:00.575969+00
CHILD|199326b2-e913-43a1-80a3-0ce83ec991d2|BC,2,2025-09-15 02:02:52.406629+00
CHILD|e1f93caa-abd2-4a29-b46b-6d0f1420d7b7|AB,2,2025-09-06 00:24:24.676239+00
CHILD|6fb1e719-14f6-41a3-8d8a-8aa7c5246594|AC,2,2025-09-06 01:02:03.313333+00
CHILD|52274f44-c2fe-4d59-9134-04f0c98be5bf|AC,3,2025-09-06 11:26:34.696981+00
CHILD|64c85330-f91f-4610-9dd9-c0e7d0e9b3a4|AD,2,2025-09-06 11:30:32.35947+00
CHILD|2adbe920-e3f0-44f9-8c04-39c66e7d1bf5|AE,2,2025-09-06 11:31:55.445998+00
