id,code,label,script,enabled,created_at,label_native,display_name,emoji_flag,country_code
c952a848-e06d-4f71-99b5-d9f1ab35dcd6,ta,Tamil,Tamil,t,2025-07-07 15:40:07.058493+00,தமிழ்,🇮🇳 Tamil (தமிழ்),🇮🇳,IN
24da24a8-3539-4bc0-a6bd-794ed3765029,hi,Hindi,Devanagari,t,2025-07-07 15:40:07.058493+00,हिन्दी,🇮🇳 Hindi (हिन्दी),🇮🇳,IN
4e174f89-33fb-4cf5-b9ab-2a3dae872c31,ml,Malayalam,Malayalam,t,2025-07-07 15:40:07.058493+00,മലയാളം,🇮🇳 Malayalam (മലയാളം),🇮🇳,IN
fa613c15-5b48-4567-a0f5-591cf1be1bc9,kn,Kannada,Kannada,t,2025-07-07 15:40:07.058493+00,ಕನ್ನಡ,🇮🇳 Kannada (ಕನ್ನಡ),🇮🇳,IN
647bd933-ed6b-4d0b-b9c6-06047848f67a,bn,Bengali,Bengali,t,2025-07-07 15:40:07.058493+00,বাংলা,🇮🇳 Bengali (বাংলা),🇮🇳,IN
ba1f9351-2fce-409f-96b5-db68eacfc451,mr,Marathi,Devanagari,t,2025-07-07 15:40:07.058493+00,मराठी,🇮🇳 Marathi (मराठी),🇮🇳,IN
c1a11973-8769-46aa-82bd-cbf48e7fa0ae,gu,Gujarati,Gujarati,t,2025-07-07 15:40:07.058493+00,ગુજરાતી,🇮🇳 Gujarati (ગુજરાતી),🇮🇳,IN
39c0fbed-9f3f-430d-9680-ecbfdbee2d58,pa,Punjabi,Gurmukhi,t,2025-07-07 15:40:07.058493+00,ਪੰਜਾਬੀ,🇮🇳 Punjabi (ਪੰਜਾਬੀ),🇮🇳,IN
e576a83a-c010-4d50-a12f-0f836e51a4f1,be,Belarusian,"",t,2025-07-07 16:22:15.045511+00,Беларуская,🇧🇾 Belarusian (Беларуская),🇧🇾,UN
f6472ef7-c56c-4bde-a8fb-350e79587a50,my-MM,Burmese,"",t,2025-07-07 16:22:15.045511+00,မြန်မာစာ,🇲🇲 Burmese (မြန်မာစာ),🇲🇲,UN
25f8abaa-2a91-4c30-bd18-ffdf7498cc79,ca,Catalan,"",t,2025-07-07 16:22:15.045511+00,Català,🇪🇸 Catalan (Català),🇪🇸,UN
5bf89ca0-3921-41dd-9570-2250c573161d,zh-HK,Chinese (Hong Kong),"",t,2025-07-07 16:22:15.045511+00,香港中文,🇭🇰 Chinese (Hong Kong) (香港中文),🇭🇰,UN
ec9f0fc1-8e86-48f0-b04f-8458ef3cb95a,zh-CN,Chinese (Simplified),"",t,2025-07-07 16:22:15.045511+00,简体中文,🇨🇳 Chinese (Simplified) (简体中文),🇨🇳,UN
c0f357a6-f5e8-445c-a754-de6a5da49fb3,zh-TW,Chinese (Traditional),"",t,2025-07-07 16:22:15.045511+00,繁體中文,🇹🇼 Chinese (Traditional) (繁體中文),🇹🇼,UN
abbe08d7-252a-40a7-934a-29dd0d54531c,hr,Croatian,"",t,2025-07-07 16:22:15.045511+00,Hrvatski,🇭🇷 Croatian (Hrvatski),🇭🇷,UN
5709251d-ca06-43a5-a428-54ba58f4a3a1,cs-CZ,Czech,"",t,2025-07-07 16:22:15.045511+00,Čeština,🇨🇿 Czech (Čeština),🇨🇿,UN
f2ed93e5-7db8-4217-9ae6-6a98bfcb1a32,da-DK,Danish,"",t,2025-07-07 16:22:15.045511+00,Dansk,🇩🇰 Danish (Dansk),🇩🇰,UN
f91d7195-9786-4faa-9a23-b1911f05501c,nl-NL,Dutch,"",t,2025-07-07 16:22:15.045511+00,Nederlands,🇳🇱 Dutch (Nederlands),🇳🇱,UN
d4b8ee41-d988-4a1a-90c0-e66559f554a7,en-ZA,English,"",t,2025-07-07 16:22:15.045511+00,English,🇿🇦 English (English),🇿🇦,UN
e43c31f8-06fe-4878-a064-8867673031ce,en-AU,English (Australia),"",t,2025-07-07 16:22:15.045511+00,English,🇦🇺 English (Australia) (English),🇦🇺,UN
dcc1b0cb-a778-4f8f-a747-ceb87ebc1f04,en-CA,English (Canada),"",t,2025-07-07 16:22:15.045511+00,English,🇨🇦 English (Canada) (English),🇨🇦,UN
c13b6eda-f060-4d19-97c1-614c887db41f,en-GB,English (United Kingdom),"",t,2025-07-07 16:22:15.045511+00,English,🇬🇧 English (United Kingdom) (English),🇬🇧,UN
11de91da-9c25-4030-9120-e728957f59c1,et,Estonian,"",t,2025-07-07 16:22:15.045511+00,Eesti,🇪🇪 Estonian (Eesti),🇪🇪,UN
6fca3ccd-1b80-4778-a069-7974edb2d89f,fil,Filipino,"",t,2025-07-07 16:22:15.045511+00,Filipino,🇵🇭 Filipino (Filipino),🇵🇭,UN
d6c9919c-e9ae-4328-86f3-f3f4773c5d6b,fi-FI,Finnish,"",t,2025-07-07 16:22:15.045511+00,Suomi,🇫🇮 Finnish (Suomi),🇫🇮,UN
7ba04383-9b15-4fbf-82df-6cc96de1c1e8,fr-CA,French (Canada),"",t,2025-07-07 16:22:15.045511+00,Français (Canada),🇨🇦 French (Canada) (Français (Canada)),🇨🇦,UN
73e20571-7b7b-4039-90bc-acd83feb3f7d,fr-FR,French (France),"",t,2025-07-07 16:22:15.045511+00,Français (France),🇫🇷 French (France) (Français (France)),🇫🇷,UN
01b5564b-e922-4fe2-afe7-4951420c447d,gl-ES,Galician,"",t,2025-07-07 16:22:15.045511+00,Galego,🇪🇸 Galician (Galego),🇪🇸,UN
d0cabd7c-c0b1-4660-ad10-a20958e08cb4,ka-GE,Georgian,"",t,2025-07-07 16:22:15.045511+00,ქართული,🇬🇪 Georgian (ქართული),🇬🇪,UN
24303d18-2ee7-4736-a25e-0dc2ac75b44e,el-GR,Greek,"",t,2025-07-07 16:22:15.045511+00,Ελληνικά,🇬🇷 Greek (Ελληνικά),🇬🇷,UN
ea2e53b9-8281-495a-92f5-decc6443f2ae,iw-IL,Hebrew,"",t,2025-07-07 16:22:15.045511+00,עברית,🇮🇱 Hebrew (עברית),🇮🇱,UN
402aef4f-ea85-4106-b45e-04fc79ce348b,hu-HU,Hungarian,"",t,2025-07-07 16:22:15.045511+00,Magyar,🇭🇺 Hungarian (Magyar),🇭🇺,UN
f64286fd-4fb5-41cf-bebf-69267b1046c0,is-IS,Icelandic,"",t,2025-07-07 16:22:15.045511+00,Íslenska,🇮🇸 Icelandic (Íslenska),🇮🇸,UN
377807c3-d20c-4e71-9937-95799ed94ea7,it-IT,Italian,"",t,2025-07-07 16:22:15.045511+00,Italiano,🇮🇹 Italian (Italiano),🇮🇹,UN
cff6195c-1e32-4bdd-9287-27de139908bb,kk,Kazakh,"",t,2025-07-07 16:22:15.045511+00,Қазақ тілі,🇰🇿 Kazakh (Қазақ тілі),🇰🇿,UN
b4f4955a-2234-42e9-aa12-35be68617191,km-KH,Khmer,"",t,2025-07-07 16:22:15.045511+00,ខ្មែរ,🇰🇭 Khmer (ខ្មែរ),🇰🇭,UN
658e8aed-f3b0-4f05-a681-7242f94a5473,ko-KR,Korean,"",t,2025-07-07 16:22:15.045511+00,한국어,🇰🇷 Korean (한국어),🇰🇷,UN
1cee72bf-efcc-4fa2-b1f4-8f50a5c00985,ky-KG,Kyrgyz,"",t,2025-07-07 16:22:15.045511+00,Кыргызча,🇰🇬 Kyrgyz (Кыргызча),🇰🇬,UN
5726bb41-1efb-4d7e-a5ac-7a052e48dbf0,lo-LA,Lao,"",t,2025-07-07 16:22:15.045511+00,ລາວ,🇱🇦 Lao (ລາວ),🇱🇦,UN
d4dd93aa-5292-457a-8202-9db291a14ce0,lv,Latvian,"",t,2025-07-07 16:22:15.045511+00,Latviešu,🇱🇻 Latvian (Latviešu),🇱🇻,UN
5f1c3f72-0e2d-4db4-b5ae-173259aee1a4,lt,Lithuanian,"",t,2025-07-07 16:22:15.045511+00,Lietuvių,🇱🇹 Lithuanian (Lietuvių),🇱🇹,UN
6a3e6d0d-0ef1-405f-9a52-2298653e0db1,mk-MK,Macedonian,"",t,2025-07-07 16:22:15.045511+00,Македонски,🇲🇰 Macedonian (Македонски),🇲🇰,UN
9d108f5d-f5ce-469f-9b79-9963cf414ce5,ms-MY,Malay (Malaysia),"",t,2025-07-07 16:22:15.045511+00,Bahasa Malaysia,🇲🇾 Malay (Malaysia) (Bahasa Malaysia),🇲🇾,UN
81d2fe24-b879-486b-9145-6080b4fc5bed,mr-IN,Marathi,"",t,2025-07-07 16:22:15.045511+00,मराठी,🇮🇳 Marathi (मराठी),🇮🇳,IN
17f52a1c-7d47-4c8f-8a74-8de04013bcb8,mn-MN,Mongolian,"",t,2025-07-07 16:22:15.045511+00,Монгол хэл,🇲🇳 Mongolian (Монгол хэл),🇲🇳,UN
a79f0c6f-9e54-4658-809f-50df17800904,ne-NP,Nepali,"",t,2025-07-07 16:22:15.045511+00,नेपाली,🇳🇵 Nepali (नेपाली),🇳🇵,UN
d628a6a1-0c92-437e-a19c-371ca1e7db1c,no-NO,Norwegian,"",t,2025-07-07 16:22:15.045511+00,Norsk,🇳🇴 Norwegian (Norsk),🇳🇴,UN
a2eeb1b5-0cbb-479e-99bc-dc14071060e1,fa-AE,Persian,"",t,2025-07-07 16:22:15.045511+00,فارسی,🇦🇪 Persian (فارسی),🇦🇪,UN
7423d046-5880-4e92-b318-fb2dd5576d33,pl-PL,Polish,"",t,2025-07-07 16:22:15.045511+00,Polski,🇵🇱 Polish (Polski),🇵🇱,UN
30b79cce-126c-494d-aaf5-033119615908,pt-BR,Portuguese (Brazil),"",t,2025-07-07 16:22:15.045511+00,Português (Brasil),🇧🇷 Portuguese (Brazil) (Português (Brasil)),🇧🇷,UN
08418b86-8d54-49cb-bed4-f0d7ae38db0b,pt-PT,Portuguese (Portugal),"",t,2025-07-07 16:22:15.045511+00,Português (Portugal),🇵🇹 Portuguese (Portugal) (Português (Portugal)),🇵🇹,UN
29c7b701-7346-4c3e-8c8a-f0cfa5d43941,ro,Romanian,"",t,2025-07-07 16:22:15.045511+00,Română,🇷🇴 Romanian (Română),🇷🇴,UN
f12a4fed-b27d-486c-9cec-fe18bb510b1d,rm,Romansh,"",t,2025-07-07 16:22:15.045511+00,Rumantsch,🇨🇭 Romansh (Rumantsch),🇨🇭,UN
9b4a8bba-33fc-4694-b7a6-c1c3569f6a44,ur,Urdu,Nastaliq,t,2025-07-07 15:40:07.058493+00,اردو,🇵🇰 Urdu (اردو),🇵🇰,IN
